transaction_id,transaction_date,amount,customer_id,card_number,merchant,location,fraudulent
db3ee9f5-e64c-4226-8ab1-93bfa9fbb6c8,2024-04-18 13:39:31,349.97,0c7eb0bc-8171-4985-8ec9-2d8e8d98b098,4192873083490755,"Wilson, Fitzpatrick and White","76042 Amy Gateway
New Teresa, NV 91693",0
dc36cfad-ba2c-49af-a210-c47c836fd516,2024-06-26 11:51:00,17.38,8aa24747-c2b1-4cf2-9320-a90301be519f,3580202553417282,"Henry, Munoz and Herman","12081 Brooks Mountains Suite 936
New Christopher, VT 79852",0
a1a4f1a6-d964-45db-96e2-0f2d127f89a2,2024-06-04 19:50:59,319.27,41a93aff-a4d3-418b-8495-144c2ee6e93f,4207810608627,"Mcmillan, Huynh and Stevens","119 Grimes Grove Apt. 805
Jenniferhaven, TX 83124",0
7aa7414c-59cf-475f-ae66-4a099065c37f,2024-02-22 15:51:11,13.62,f01ab422-1e59-4844-ae4e-6caebe9f6060,3515045594500206,Sandoval Inc,"PSC 6806, Box 7271
APO AP 56907",0
b111de53-1efc-44d6-926b-b7bc3f6d1509,2024-05-30 17:58:47,721.43,c37ff3ce-f74c-46c4-83b0-183c792985cf,577164457282,"Kelly, Stephens and Newman","616 Mcfarland Camp
South Melinda, AR 82611",0
680fdf2c-cda5-4f6b-8618-1a2061461dcb,2024-01-19 20:56:39,766.28,523272f7-e3e2-4038-8813-d1153edaf249,4115204643661131246,Melton-Kim,"231 Gomez Plains Apt. 326
Pamelaberg, AS 93588",0
539478fb-8615-4275-ab18-69dabe991866,2024-06-28 03:13:54,903.96,53e42d16-5afa-4c74-8191-d6aa15e0b8e0,4383391214102912292,Arnold-Jackson,"9899 Lori Rest Apt. 580
Summersville, AK 43131",0
4a31b503-bea6-4854-85ae-977e3b901411,2024-03-05 09:21:38,945.5,7d92a7fa-ead6-4460-b629-e1294928708a,378114793649149,Carney-Watson,"0581 Schwartz Shoals
Markview, MD 00861",0
7e1ed846-c64c-41e1-b529-7520530f4b0a,2024-05-30 21:24:51,618.06,cabf5b9b-3891-40a0-83b0-e6170500dd3f,4349600651787,Morris-Vaughn,"PSC 3808, Box 5356
APO AE 62799",0
966820e7-fe0f-4f22-9291-784f417c02dd,2024-02-13 15:13:47,884.44,582df07f-9fa0-4307-aabf-46cbbd3675e9,3589561075185383,Murphy Inc,"20941 Mcdonald Garden
Donaldside, MI 53605",0
4e648cb6-c139-41c4-9051-86b19c97a392,2024-03-27 21:55:45,561.24,5703a6dd-2d8b-453c-90e7-a976e9c1ff58,4186479055376432,Franklin Ltd,"814 Roberts Light
Amystad, AL 05459",0
a644f11d-7c6e-4e03-a976-144b26ff9e70,2024-01-17 06:14:14,179.04,f04f9c3d-3b08-4ce0-8cd9-b279410ab6bc,4563102422877121,Church PLC,"USNV Williamson
FPO AE 92108",0
c98e039f-7d7a-43d5-8d20-d6df020d98d3,2024-02-24 08:26:33,285.58,c77feb98-3352-43f5-9f45-5fa4d247b21f,3559248136662362,Martin-Gray,"5069 Marc Prairie Suite 695
Markville, PA 22348",0
882875de-b03c-4c2d-ab83-4f975931bb77,2024-04-04 16:33:10,897.4,367e3314-db7e-4fc4-9489-aa9c5939e688,4024879853477078410,"Leon, Harmon and Lynch","740 Allen Courts
Rebeccaborough, TN 55769",0
a3c4380a-963c-4b9a-bbde-5c1f28e230b2,2024-05-29 08:24:40,684.44,ac1fbd16-6fa2-44f0-97fd-10ac70df1df5,3576123524688700,Stone Ltd,"2599 Wanda Meadow
Hillhaven, GU 53314",0
a2452d25-808d-4551-b02e-7b460c624621,2024-02-15 17:26:13,300.79,bd320838-b3ba-4ecb-9c2a-59aae63d9a2f,4360844017354,Bell-Gonzalez,"USS Small
FPO AP 94826",0
3ff721a3-38b0-49d2-ad75-8aef6605dd84,2024-03-18 08:36:40,828.26,bed44802-b368-469c-8304-9eedceed3e11,213198854161820,Bowman-Novak,"325 Kristina Dam
North Tiffanymouth, KY 06655",0
981e6360-3f3e-43ed-916d-9f367a5bd42b,2024-01-31 20:42:08,347.55,9acd7168-36a1-4ba5-9aa7-1f81de76a7b0,4503419717452073219,"Mccormick, Nelson and Marshall","15986 Carter Hollow
Nicolechester, MN 60839",0
678854b1-7421-413e-8d27-65d43a1212a0,2024-01-30 06:31:28,130.28,b0f630fc-c7df-419e-b789-a3107c0f3ad8,4732707738640967,Zimmerman-Davies,"153 Martinez Dale
Lancestad, IL 61863",0
8ea2d39f-29dc-48ae-9e32-7c777bfa3828,2024-06-15 21:00:34,168.85,7c43131c-f06c-4bd8-ae47-0221802c1135,4520385170589319,"Greene, Clark and Gates","75792 Kathryn Summit
North Rebeccatown, NC 83044",0
8825bcc3-c9aa-4c9a-a246-bb303248ddae,2024-02-24 08:58:59,306.21,4e04feb3-7c5f-4724-809c-b0b763582463,6011554369697644,"Figueroa, Williams and Wagner","0933 Nathan Circles Apt. 680
Michaelmouth, NJ 55781",0
9cd1a1c9-3462-43c9-98fc-1e85ca632334,2024-02-15 15:59:10,123.25,50fc3809-93c5-4e57-9495-442c9f54934e,565464641911,Beasley-James,"347 Carol Ridges
Lake Adamport, PW 56045",0
b4fa14ba-b55b-4523-b208-f75fee12114f,2024-04-27 19:13:34,350.95,d164a253-4c3d-47e9-9523-9f4270ce0e25,347880228186836,"Smith, Hughes and Mann","91244 Edwards Loop Apt. 326
Jasonport, AR 95440",0
